"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturns","nNET PROFIT","Accrual"
"S K S Microfinance Ltd.",629.9,100.2,0,7107.2,1523.7,1309.1,0,2061.9,64.4,0,9088.1,1833.3,5705.2,0,108.55,283.05,4699.8,1.607554123,0,4571
"Unitech Ltd.",-1105.1,56.9,0,127478.7,89319.9,3731.7,1350.5,-39.4,37.3,0,148003.2,102788.7,3073.9,980.3,16.45,25.45,4999.3,0.547112462,0,4924.70000000001
"Bharat Petroleum Corpn. Ltd.",5998.2,18848.7,0,332918.2,245412.1,4101.1,2800,13500.4,19360.9,0,328360.8,220894.4,7304.7,11732.9,323.75,580.15,43955.5,0.791969112,0,5233.7
"Godrej Industries Ltd.",159.3,271.9,0,5571,7675.5,174.9,176,-256.4,231.2,0,7484.9,4619,552.6,23.1,262.44,335.23,5842.1,0.2773586344,0,5379.7
"Bosch Ltd.",2157,2547,16,31607,15272,181,4709,-1085,3642,16,37773,13736,37,4163,9004.15,13405.3,13912,0.4887912796,0,6596
"Kotak Mahindra Bank Ltd.",1635.7,1167.6,0,43928.5,24970.5,19903.7,4931.5,10546.1,1325.3,0,56873.3,27002.8,25668.4,6328.9,326.18,476.85,10489.5,0.4619228647,0,7838.90000000001
"L I C Housing Finance Ltd.",-1014,74.2,0,8532.7,17802.4,30074.9,3677.1,-1461.7,75.3,0,11634.1,24523.3,41279.9,3784.3,165.7,289.7,8215.7,0.7483403742,0,8065.1
"Cairn India Ltd.",312.7,0.4,0,4707,942,0,35.4,-825.1,10031.9,0,17232.9,9620.8,0,13362.7,295.15,315.25,28344.1,0.06810096561,0,8280.3
"Bajaj Auto Ltd.",9468.8,1456.2,0,39857.2,26916.4,0,10033.9,-6224.7,1639.7,0,33898.6,26306.6,0,11560,1934.75,2075.9,13510.5,0.07295516217,0,10231.1
"Hindustan Unilever Ltd.",6947.9,2182.5,0,52003.6,54994.2,0,7845.2,-5965.3,2352.2,0,55992.6,62600.9,0,11675.9,612.55,686.6,15478.4,0.1208880908,0,10774
"Tata Chemicals Ltd.",930.9,2246.8,0,37187.9,19845,89.3,2095.2,1969.8,2142.9,0,45849.6,15354.9,1880.4,1570,258.3,347.2,15521.7,0.3441734417,0,11235.9
"Cipla Ltd.",-289.2,2610.8,0,36793.5,9229.7,349.5,2775,500.1,2677.8,0,42693.4,10661.4,9986.9,3860,400.3,456.5,17079.1,0.140394704,0,11723.5
"Hindustan Zinc Ltd.",-2481.8,6106.7,0,68051.6,9905.9,0,14089.5,2611.3,6470.4,0,91114,10849.4,0,15429.8,101.65,161.2,24836.5,0.5858337432,0,11895.7
"Wipro Ltd.",9343,7461,0,192529,59347,30410,14300,15405,7013,0,213214,66910,39870,17036,438,544.4,26269,0.2429223744,0,12243
"Tata Consultancy Services Ltd.",-2892.3,6881.7,0,173851.3,46360.9,0,29003.7,215.6,8028.6,0,206593.9,57657,800.2,30293.1,1815.5,2580.05,28456.8,0.4211236574,0,12399.6
"N M D C Ltd.",19449.1,1301.7,34.6,221607.4,9703.8,0,34869.4,12079.8,1385.2,34.6,235459.9,12935,0,30875.2,97.9,170.05,15416.2,0.7369765066,0,12576.6
"Oracle Financial Services Software Ltd.",567.6,401.2,0,51574.2,7531,0,4717,-640.1,586.1,0,64666.1,8996.9,0,5077.6,2958.7,3314.6,13780.4,0.1202893163,0,12608.2
"Allahabad Bank",29978.3,692.6,2108.6,153086.3,36828.8,119.3,3141.3,0,688.3,2042.8,143112.6,41568.9,0,4004,71.45,121.45,18739,0.699790063,0,13276.8
"Adani Enterprises Ltd.",10.1,299,0,30103.9,24374.7,3754.2,0,1224.7,575.5,0,64289.4,45869,5250,1016.4,175,433.8,14564.3,1.478857143,0,13413.3
"H C L Technologies Ltd.",-197.8,3530.7,0,42974.7,22668.8,81.8,4816.8,309,4419.1,0,71792.7,37353.9,23.1,9245.5,468.77,777.55,22415.2,0.658702562,0,13577
"Dr. Reddy'S Laboratories Ltd.",777,2603,0,42071,17221,0,3444,-783,2690,0,55801,15608,42,4140,2281.2,2808.7,20331,0.2312379449,0,14951
"Yes Bank Ltd.",895.6,408.2,0,75573.2,54300.6,24294.5,5036.3,4802.2,517.1,0,87195.5,51454.2,30832.5,6677.6,324,541.1,19258.5,0.6700617284,0,18224.3
